iter	Passed	Remaining
399	61143	91715
400	61287	91548
401	61425	91374
402	61567	91205
403	61721	91054
404	61863	90886
405	62013	90729
406	62151	90555
407	62291	90383
408	62438	90222
409	62582	90058
410	62741	89914
411	62890	89756
412	63030	89586
413	63176	89423
414	63329	89271
415	63476	89111
416	63626	88954
417	63774	88796
418	63925	88641
419	64069	88477
420	64214	88314
421	64362	88155
422	64517	88006
423	64667	87850
424	64813	87689
425	64956	87524
426	65114	87377
427	65252	87206
428	65393	87039
429	65539	86878
430	65688	86721
431	65839	86566
432	65985	86405
433	66130	86244
434	66273	86079
435	66423	85924
436	66567	85761
437	66721	85611
438	66860	85441
439	67000	85273
440	67154	85122
441	67297	84959
442	67446	84803
443	67592	84643
444	67741	84486
445	67886	84325
446	68031	84164
447	68220	84057
448	68378	83911
449	68530	83759
450	68678	83601
451	68839	83459
452	68998	83316
453	69150	83163
454	69293	83000
455	69442	82843
456	69595	82692
457	69746	82538
458	69893	82379
459	70042	82223
460	70189	82065
461	70333	81903
462	70487	81753
463	70634	81595
464	70795	81452
465	70941	81293
466	71084	81130
467	71236	80978
468	71381	80818
469	71536	80668
470	71677	80503
471	71827	80349
472	71983	80201
473	72125	80037
474	72273	79881
475	72428	79732
476	72577	79576
477	72730	79425
478	72872	79261
479	73036	79122
480	73182	78963
481	73331	78808
482	73479	78651
483	73633	78501
484	73783	78347
485	73933	78193
486	74082	78037
487	74229	77880
488	74377	77723
489	74535	77577
490	74680	77418
491	74830	77264
492	74979	77108
493	75123	76948
494	75275	76796
495	75428	76644
496	75570	76483
497	75721	76329
498	75865	76169
499	76014	76014
500	76160	75855
501	76303	75695
502	76450	75538
503	76595	75380
504	76747	75227
505	76890	75066
506	77043	74915
507	77186	74755
508	77333	74599
509	77480	74442
510	77624	74282
511	77771	74126
512	77913	73964
513	78065	73813
514	78218	73662
515	78363	73504
516	78505	73342
517	78645	73180
518	78792	73023
519	78947	72874
520	79152	72771
521	79296	72612
522	79444	72456
