iter	Logloss
0	0.6654656263
1	0.64050155
2	0.6187771693
3	0.5988376988
4	0.5815698575
5	0.5662455683
6	0.5526311323
7	0.5405226212
8	0.5297497493
9	0.5200095527
10	0.5112187508
11	0.50318786
12	0.4961419251
13	0.4896604812
14	0.4838667635
15	0.4789303792
16	0.4747259939
17	0.470699744
18	0.4669507115
19	0.4633648477
20	0.4602226688
21	0.4573602929
22	0.4547509097
23	0.4522579724
24	0.4499428237
25	0.448041408
26	0.4462160523
27	0.4443979093
28	0.4427092941
29	0.441162579
30	0.4399020717
31	0.4384750094
32	0.4372399112
33	0.4361079825
34	0.4350339227
35	0.4340585124
36	0.4330324536
37	0.4321105379
38	0.4313360137
39	0.4305017503
40	0.4297495759
41	0.4289600415
42	0.4282392819
43	0.4275772545
44	0.4269276428
45	0.4263278224
46	0.4256961365
47	0.425170257
48	0.4246091629
49	0.4240521533
50	0.4235965493
51	0.4230720273
52	0.4226295056
53	0.4220829401
54	0.4216565907
55	0.4212143113
56	0.4207968279
57	0.4203857891
58	0.4199559457
59	0.4195132785
60	0.419129668
61	0.4187395445
62	0.4183986329
63	0.4180381422
64	0.4176810866
65	0.4173284731
66	0.417003668
67	0.4166747177
68	0.4163455708
69	0.4160030713
70	0.4156863951
71	0.4153884058
72	0.4150922154
73	0.4147914348
74	0.414531196
75	0.4142766435
76	0.4139877007
77	0.4137306916
78	0.4134549558
79	0.4132230838
80	0.4129657619
81	0.4127084423
82	0.4124575913
83	0.4122002495
84	0.4119980028
85	0.4117496283
86	0.4115377692
87	0.4113186511
88	0.4111018917
89	0.4108930596
90	0.4106544963
91	0.41044271
92	0.4102170137
93	0.4100270164
94	0.4098172698
95	0.4096325502
96	0.4094299744
97	0.4092504427
98	0.409072825
99	0.4088842824
100	0.408684105
101	0.4085290755
102	0.4083655111
103	0.4082030141
104	0.4080438947
105	0.40789587
106	0.4077158102
107	0.4075643813
108	0.4074126237
109	0.4072574312
110	0.4070962537
111	0.406935924
112	0.4067922872
113	0.4066478498
114	0.4065254746
115	0.4063793594
116	0.4062563211
117	0.4061090368
118	0.4059817771
119	0.4058346871
120	0.4056949459
121	0.4055767709
122	0.4054395063
123	0.4053264993
124	0.4051925305
125	0.4050720584
126	0.404952662
127	0.4048167859
128	0.4047147429
129	0.4045964866
130	0.4044900064
131	0.4043805605
132	0.4042770479
133	0.4041756823
134	0.404074878
135	0.4039685736
136	0.4038631525
137	0.4037709243
138	0.4036733074
139	0.4035790855
140	0.4034772244
141	0.4033858105
142	0.4032954052
143	0.4031932278
144	0.4031061211
145	0.4030144565
146	0.4029302735
147	0.4028542008
148	0.4027598758
149	0.4026753729
150	0.4025829637
151	0.4024998819
152	0.4024167465
153	0.4023457967
154	0.4022769895
155	0.4021886224
156	0.4021022595
157	0.4020271594
158	0.4019498771
159	0.4018778831
160	0.4018077854
161	0.4017371715
162	0.4016705792
163	0.4016050303
164	0.4015354729
165	0.4014690997
166	0.4013983751
167	0.4013279625
168	0.4012652743
169	0.4011986607
170	0.4011377685
171	0.4010718481
172	0.4010144398
173	0.4009499382
174	0.4008817938
175	0.4008240993
176	0.4007686972
177	0.4007162565
178	0.4006619566
179	0.4006036216
