iter	Passed	Remaining
308	50192	112241
309	50342	112053
310	50496	111871
311	50646	111681
312	50797	111494
313	50949	111310
314	51097	111117
315	51249	110933
316	51402	110750
317	51577	110615
318	51732	110438
319	51883	110251
320	52035	110069
321	52195	109902
322	52355	109735
323	52505	109547
324	52658	109368
325	52822	109209
326	52981	109040
327	53136	108864
328	53290	108685
329	53452	108525
330	53614	108362
331	53773	108194
332	53931	108025
333	54093	107862
334	54249	107690
335	54407	107519
336	54567	107353
337	54730	107193
338	54889	107025
339	55050	106863
340	55215	106706
341	55369	106529
342	55523	106352
343	55681	106184
344	55835	106005
345	55984	105820
346	56139	105646
347	56292	105467
348	56450	105298
349	56621	105155
350	56780	104987
351	56942	104825
352	57098	104653
353	57253	104479
354	57416	104319
355	57567	104138
356	57729	103976
357	57893	103819
358	58047	103645
359	58208	103481
360	58363	103308
361	58530	103156
362	58686	102984
363	58859	102843
364	59042	102716
365	59249	102634
366	59426	102499
367	59657	102454
368	59840	102328
369	60046	102240
370	60209	102080
371	60370	101916
372	60665	101977
373	60917	101963
374	61160	101933
375	61319	101764
376	61480	101598
377	61638	101426
378	61825	101303
379	61981	101128
380	62138	100954
381	62300	100789
382	62468	100634
383	62627	100464
384	62784	100292
385	62945	100125
386	63103	99954
387	63259	99780
388	63413	99602
389	63565	99423
390	63736	99272
391	63981	99236
392	64222	99193
393	64461	99147
394	64632	98994
395	64793	98826
396	64967	98678
397	65125	98505
398	65283	98334
399	65443	98165
400	65612	98009
401	65816	97906
402	65973	97732
403	66128	97555
404	66282	97378
405	66437	97202
406	66591	97024
407	66756	96862
408	66930	96714
409	67086	96538
410	67247	96371
411	67408	96203
412	67568	96035
413	67728	95866
414	67946	95779
415	68106	95610
416	68267	95443
417	68420	95264
418	68586	95104
419	68813	95027
420	68994	94887
421	69153	94717
422	69313	94548
423	69472	94378
424	69629	94205
425	69830	94090
426	70021	93962
427	70195	93812
428	70367	93659
429	70522	93483
430	70681	93312
431	70852	93157
432	71031	93013
433	71189	92841
434	71353	92678
435	71515	92511
436	71673	92338
437	71842	92181
438	72002	92012
439	72162	91842
440	72328	91681
441	72488	91512
442	72664	91364
443	72829	91201
444	72997	91041
445	73159	90874
446	73331	90721
447	73485	90544
448	73646	90376
449	73815	90218
450	73996	90075
451	74149	89897
452	74307	89727
453	74467	89558
454	74619	89379
455	74782	89213
456	74939	89041
457	75098	88872
458	75266	88712
459	75423	88540
460	75588	88377
461	75756	88219
462	75908	88040
463	76074	87879
464	76231	87707
465	76392	87539
466	76542	87360
467	76704	87194
468	76871	87033
469	77030	86864
470	77185	86689
471	77345	86522
472	77523	86373
473	77680	86202
474	77848	86043
475	78008	85874
476	78166	85704
477	78331	85541
478	78506	85389
479	78676	85232
480	78842	85070
481	79005	84906
482	79171	84744
483	79332	84577
484	79487	84404
485	79645	84234
486	79815	84076
487	79994	83928
488	80182	83789
489	80342	83621
490	80497	83448
491	80650	83272
492	80833	83128
493	80992	82959
494	81154	82794
495	81312	82623
496	81477	82461
497	81632	82288
498	81792	82120
499	81951	81951
500	82106	81779
501	82273	81617
502	82435	81451
503	82585	81274
504	82742	81104
505	82897	80931
506	83065	80771
507	83237	80616
508	83403	80453
509	83565	80288
510	83732	80127
511	83893	79961
512	84052	79792
513	84208	79621
514	84371	79456
515	84530	79288
516	84694	79124
517	84855	78957
518	85014	78789
519	85176	78624
520	85343	78463
521	85502	78294
522	85659	78125
523	85821	77960
524	85981	77792
525	86141	77625
526	86307	77463
527	86464	77294
528	86641	77142
529	86816	76988
530	87005	76846
531	87178	76690
532	87348	76532
533	87517	76373
534	87682	76209
535	87870	76066
536	88033	75902
537	88218	75756
538	88404	75611
539	88597	75472
540	88777	75321
541	88951	75165
542	89118	75003
543	89290	74846
544	89476	74700
545	89655	74548
546	89836	74398
547	90024	74253
548	90230	74123
549	90402	73965
550	90573	73806
551	90758	73658
552	90934	73504
553	91098	73339
554	91273	73183
555	91446	73026
556	91625	72872
557	91795	72712
558	91962	72550
559	92163	72414
560	92368	72281
561	92615	72180
562	92800	72031
563	92957	71860
564	93119	71693
565	93283	71528
566	93450	71365
567	93611	71197
568	93770	71028
569	93931	70860
570	94106	70703
571	94283	70548
572	94447	70382
573	94627	70228
574	94793	70064
575	94951	69894
576	95113	69727
577	95274	69560
578	95431	69389
579	95587	69218
580	95756	69056
581	95913	68886
582	96080	68723
583	96239	68553
584	96400	68386
585	96567	68223
586	96730	68057
587	96896	67893
588	97057	67725
589	97227	67564
590	97399	67405
591	97564	67240
592	97724	67072
593	97892	66909
594	98043	66735
595	98212	66573
596	98378	66409
597	98548	66248
598	98710	66081
599	98884	65923
600	99045	65755
601	99206	65588
602	99369	65422
603	99535	65258
604	99709	65099
605	99893	64947
606	100098	64808
607	100260	64641
608	100420	64473
609	100596	64315
610	100765	64153
611	100942	63996
612	101109	63832
613	101276	63668
614	101446	63506
615	101613	63343
616	101778	63178
617	101935	63008
618	102091	62838
619	102252	62670
620	102414	62504
621	102587	62344
622	102751	62178
623	102915	62013
624	103072	61843
625	103232	61675
626	103395	61509
627	103562	61345
628	103723	61178
629	103889	61014
630	104052	60848
631	104207	60678
632	104366	60509
633	104527	60342
634	104691	60177
635	104849	60008
636	105010	59841
637	105182	59680
638	105344	59514
639	105514	59352
640	105677	59185
641	105837	59018
642	105995	58849
643	106161	58685
644	106319	58517
645	106476	58347
646	106633	58178
647	106790	58009
648	106950	57842
649	107111	57675
650	107276	57510
651	107437	57343
652	107597	57176
653	107759	57010
654	107915	56841
655	108075	56673
656	108237	56507
657	108401	56342
658	108582	56186
659	108752	56024
660	108915	55858
661	109077	55692
662	109251	55531
663	109411	55365
664	109569	55196
665	109739	55034
666	109905	54870
667	110109	54725
668	110269	54557
669	110421	54386
670	110579	54218
671	110738	54051
672	110899	53884
673	111046	53711
674	111195	53538
675	111359	53373
676	111533	53213
677	111693	53046
678	111847	52876
679	112001	52706
680	112159	52538
681	112313	52369
682	112470	52200
683	112633	52035
684	112795	51869
685	112957	51703
686	113128	51541
687	113289	51375
688	113458	51212
689	113615	51044
690	113775	50878
691	113934	50710
692	114097	50545
693	114252	50376
694	114411	50209
695	114573	50043
696	114734	49877
697	114898	49712
698	115051	49542
699	115215	49377
700	115375	49211
701	115542	49048
702	115694	48877
703	115862	48714
704	116019	48547
705	116179	48380
706	116346	48217
707	116516	48054
708	116665	47883
709	116820	47715
710	116976	47547
711	117129	47378
712	117291	47212
713	117449	47045
714	117614	46881
715	117775	46715
716	117938	46550
717	118113	46390
718	118295	46232
719	118463	46069
720	118620	45901
721	118781	45735
722	118938	45568
723	119105	45404
724	119259	45236
725	119421	45071
726	119578	44903
727	119732	44735
728	119903	44573
729	120123	44429
730	120284	44263
731	120543	44133
732	120752	43985
733	120993	43847
734	121232	43709
735	121409	43548
736	121568	43381
737	121726	43214
738	121912	43057
739	122070	42889
740	122229	42722
741	122394	42557
742	122565	42394
743	122724	42227
744	122887	42062
745	123049	41896
746	123209	41729
747	123425	41581
748	123663	41441
749	123902	41300
750	124146	41161
751	124331	41002
752	124497	40837
753	124665	40673
754	124837	40510
755	125037	40356
756	125211	40193
757	125456	40053
758	125615	39885
759	125780	39720
760	125992	39569
761	126146	39399
762	126306	39232
763	126462	39064
764	126623	38897
765	126788	38731
766	126965	38569
767	127129	38403
768	127285	38235
769	127441	38067
770	127602	37900
771	127762	37732
772	127975	37581
773	128139	37415
774	128303	37249
775	128530	37101
776	128691	36934
777	128859	36769
778	129050	36611
779	129203	36442
780	129369	36276
781	129526	36108
782	129685	35940
783	129886	35785
784	130071	35624
785	130260	35465
786	130417	35297
787	130583	35131
788	130752	34966
789	130914	34800
790	131097	34638
791	131274	34476
792	131433	34308
793	131593	34141
794	131757	33975
795	131922	33809
796	132092	33644
797	132270	33482
798	132427	33314
799	132592	33148
800	132759	32982
801	132921	32815
802	133091	32651
803	133259	32486
804	133445	32325
805	133613	32160
806	133774	31993
807	133940	31827
808	134100	31660
809	134266	31494
810	134436	31329
811	134601	31163
812	134779	31000
813	134945	30835
814	135103	30667
815	135268	30501
816	135429	30334
817	135588	30167
818	135744	29999
819	135900	29831
820	136061	29664
821	136222	29498
822	136397	29334
823	136552	29166
824	136722	29001
825	136878	28833
826	137041	28667
827	137213	28503
828	137391	28340
829	137570	28177
830	137741	28012
831	137911	27847
832	138074	27681
833	138238	27515
834	138401	27348
835	138573	27184
836	138737	27018
837	138896	26851
838	139058	26684
839	139223	26518
840	139380	26351
841	139544	26185
842	139707	26019
843	139871	25852
844	140037	25687
845	140237	25527
846	140397	25361
847	140559	25194
848	140726	25029
849	140885	24862
850	141046	24695
851	141208	24529
852	141366	24362
853	141523	24194
854	141683	24028
855	141844	23861
856	142004	23695
857	142176	23530
858	142344	23365
859	142507	23198
860	142669	23032
861	142830	22866
862	142989	22699
863	143149	22532
864	143310	22366
865	143482	22201
866	143646	22035
867	143807	21869
868	143967	21702
869	144134	21537
870	144298	21371
871	144460	21205
872	144611	21037
873	144771	20870
874	144933	20704
875	145094	20538
876	145256	20372
877	145414	20205
878	145574	20039
879	145735	19872
880	145898	19707
881	146059	19540
882	146217	19374
883	146374	19207
884	146536	19041
885	146706	18876
886	146863	18709
887	147025	18543
888	147181	18377
889	147350	18211
890	147515	18046
891	147672	17879
892	147846	17715
893	148008	17549
894	148167	17382
895	148332	17217
896	148512	17053
897	148672	16887
898	148828	16720
899	148992	16554
900	149170	16390
901	149343	16225
902	149504	16059
903	149664	15893
904	149829	15727
905	149995	15562
906	150198	15400
907	150363	15235
908	150523	15068
909	150686	14903
910	150869	14739
911	151026	14572
912	151186	14406
913	151342	14240
914	151510	14074
915	151666	13908
916	151833	13742
917	152003	13577
918	152167	13411
919	152330	13246
920	152501	13081
921	152663	12915
922	152824	12749
923	152985	12583
924	153142	12416
925	153304	12251
926	153470	12085
927	153633	11919
928	153795	11754
929	153960	11588
930	154118	11422
931	154281	11256
932	154443	11090
933	154614	10925
934	154780	10760
935	154943	10594
936	155110	10428
937	155270	10263
938	155431	10097
939	155590	9931
940	155754	9765
941	155935	9601
942	156098	9435
943	156260	9269
944	156418	9103
945	156574	8937
946	156737	8772
947	156899	8606
948	157063	8440
949	157225	8275
950	157384	8109
951	157545	7943
952	157710	7777
953	157868	7612
954	158044	7447
955	158206	7281
956	158372	7116
957	158556	6951
958	158716	6785
959	158881	6620
960	159061	6455
961	159224	6289
962	159381	6123
963	159541	5957
964	159711	5792
965	159876	5627
966	160038	5461
967	160237	5297
968	160410	5131
969	160577	4966
970	160747	4800
971	160913	4635
972	161075	4469
973	161241	4304
974	161397	4138
975	161559	3972
976	161716	3807
977	161883	3641
978	162055	3476
979	162262	3311
980	162423	3145
981	162646	2981
982	162821	2815
983	162979	2650
984	163134	2484
985	163298	2318
986	163454	2152
987	163618	1987
988	163776	1821
989	163932	1655
990	164093	1490
991	164251	1324
992	164407	1158
993	164566	993
994	164730	827
995	164889	662
996	165063	496
997	165222	331
998	165380	165
999	165541	0
